Symbol,Name,lastsale,netchange,pctchange,share_volume,Nasdaq100_points,
ISRG,IntuitiveSurgicalInc.,1045.88,20,1.95,228265,.7,
JBHT,J.B.HuntTransportServicesInc.,111.08,2.18,2,1249283,.2,
JD,JD.comInc.,38.2,-0.45,-1.16,23313995,-.4,
KLAC,KLA-TencorCorporation,106,1.08,1.03,1076197,.2,
LRCX,LamResearchCorporation,185.04,3.22,1.77,1788761,.5,
LBTYA,LibertyGlobalplc,33.91,0.74,2.23,1818998,.2,
LBTYK,LibertyGlobalplc,32.7,0.65,2.03,3248505,.3,
LILA,LibertyGlobalplc,23.76,0.45,1.93,237872,.0,
LILAK,LibertyGlobalplc,23.3,0.41,1.79,793815,.0,
LVNTA,LibertyInteractiveCorporation,57.55,0.6,1.05,526650,.0,
QVCA,LibertyInteractiveCorporation,23.57,0.2,0.86,2535250,.1,
MAR,MarriottInternational,110.26,0.26,0.24,3557524,.1,
MAT,MattelInc.,15.48,0.47,3.13,8873216,.1,
MXIM,MaximIntegratedProductsInc.,47.71,0.05,0.1,2141854,.0,
MELI,MercadoLibreInc.,258.93,-3.06,-1.17,656407,-.1,
MCHP,MicrochipTechnologyIncorporated,89.78,0.64,0.72,2192765,.1,
MU,MicronTechnologyInc.,39.33,1.37,3.61,48711411,1.3,
MSFT,MicrosoftCorporation,74.49,0.62,0.84,17064003,4.2,
MDLZ,MondelezInternationalInc.,40.66,0.14,0.35,8123370,.2,
MNST,MonsterBeverageCorporation,55.25,-0.23,-0.41,2130741,-.1,
MYL,MylanN.V.,31.37,0.51,1.65,8829190,.2,
NTES,NetEaseInc.,263.81,6.46,2.51,1443472,.4,
NFLX,NetflixInc.,181.35,0.65,0.36,4224778,.3,
NCLH,NorwegianCruiseLineHoldingsLtd.,54.05,0.4,0.75,2518394,.1,
NVDA,NVIDIACorporation,178.77,3.09,1.76,15473018,1.6,
ORLY,O'ReillyAutomotiveInc.,215.37,0.09,0.04,729924,.0,
PCAR,PACCARInc.,72.34,-0.03,-0.04,1142656,.0,
PAYX,PaychexInc.,59.96,-0.3,-0.5,2262337,-.1,
PYPL,PayPalHoldingsInc.,64.03,0.1,0.16,6891295,.1,
QCOM,QUALCOMMIncorporated,51.84,0.09,0.17,5371196,.1,
REGN,RegeneronPharmaceuticalsInc.,447.12,12.01,2.76,909379,1.1,
ROST,RossStoresInc.,64.57,-0.23,-0.35,2499850,-.1,
STX,SeagateTechnologyPLC,33.17,0.19,0.58,2522267,.1,
SHPG,Shireplc,153.14,1.59,1.05,619731,.1,
SIRI,SiriusXMHoldingsInc.,5.52,0.08,1.47,15763156,.3,
SWKS,SkyworksSolutionsInc.,101.9,0.66,0.65,1211162,.1,
SBUX,StarbucksCorporation,53.71,-0.79,-1.45,11933133,-1.0,
SYMC,SymantecCorporation,32.81,-0.26,-0.79,5206143,-.1,
TMUS,T-MobileUSInc.,61.66,-0.26,-0.42,4974678,-.2,
TSLA,TeslaInc.,341.1,1.5,0.44,5104732,.2,
TXN,TexasInstrumentsIncorporated,89.64,-0.01,-0.01,3279535,.0,
KHC,TheKraftHeinzCompany,77.55,-0.42,-0.54,3778568,-.5,
PCLN,ThePricelineGroupInc.,1830.82,19.13,1.06,377469,.8,
TSCO,TractorSupplyCompany,63.29,0.18,0.29,1023086,.0,
FOX,Twenty-FirstCenturyFoxInc.,25.79,-0.22,-0.85,5002472,-.2,
FOXA,Twenty-FirstCenturyFoxInc.,26.38,-0.18,-0.68,8900401,-.2,
ULTA,UltaBeautyInc.,226.06,-0.83,-0.37,562013,.0,
VRSK,VeriskAnalyticsInc.,83.19,0.79,0.96,922018,.1,
VRTX,VertexPharmaceuticalsIncorporated,152.04,2.42,1.62,1499619,.5,
VIAB,ViacomInc.,27.84,-0.01,-0.04,3169046,.0,
VOD,VodafoneGroupPlc,28.46,0.4,1.43,2250693,.2,
WBA,WalgreensBootsAllianceInc.,77.22,-0.3,-0.39,5323067,-.3,
WDC,WesternDigitalCorporation,86.4,-0.31,-0.36,3731196,-.1,
WYNN,WynnResortsLimited,148.92,4.54,3.14,3212218,.4,
XLNX,XilinxInc.,70.83,0.64,0.91,2186188,.1,
